omega[deg],I[au],I_B[au],theta[deg],theta_corr[deg],omega_corr[deg],lambda[ang]
14.0,7144,6644,7.0,7.257384505344885,14.51476901068977,0.968163002335247
14.1,6779,6374,7.05,7.307195383212456,14.614390766424911,0.9746637365312448
14.2,6571,6103,7.1,7.357006261080025,14.71401252216005,0.9811615241500926
14.3,6299,5833,7.15,7.406817138947597,14.813634277895193,0.9876563455478546
14.4,5954,5675,7.2,7.456628016815167,14.913256033630335,0.9941481810895608
14.5,5698,5629,7.25,7.506438894682738,15.012877789365476,1.000637011149269
14.6,5513,5582,7.3,7.556249772550308,15.112499545100617,1.0071228161101236
14.7,6333,5536,7.35,7.606060650417879,15.212121300835758,1.0136055763644132
14.8,10779,6071,7.4,7.65587152828545,15.3117430565709,1.020085272313632
14.9,11716,7187,7.45,7.705682406153021,15.411364812306042,1.0265618843685373
15.0,10941,8303,7.5,7.755493284020591,15.510986568041181,1.0330353929492104
15.1,10655,9419,7.55,7.805304161888161,15.610608323776322,1.0395057784851145
15.2,10338,9927,7.6,7.855115039755732,15.710230079511463,1.0459730214151544
15.3,9977,9828,7.65,7.904925917623303,15.809851835246606,1.0524371021877355
15.4,11879,9730,7.7,7.954736795490874,15.909473590981747,1.0588980012608227
15.5,11511,9631,7.75,8.004547673358445,16.00909534671689,1.0653556991020006
15.6,10135,9566,7.8,8.054358551226015,16.10871710245203,1.0718101761885304
15.7,9581,9536,7.85,8.104169429093584,16.20833885818717,1.0782614130074106
15.8,9460,9505,7.9,8.153980306961156,16.30796061392231,1.0847093900554372
15.9,9595,9475,7.95,8.203791184828727,16.407582369657455,1.0911540878392587
16.0,13661,9249,8.0,8.253602062696297,16.507204125392594,1.097595486875438
16.1,10271,8826,8.05,8.303412940563868,16.606825881127737,1.1040335676905124
16.2,8645,8404,8.1,8.353223818431438,16.706447636862876,1.1104683108210482
16.3,8070,7981,8.15,8.40303469629901,16.80606939259802,1.116899696813704
16.4,7805,7659,8.2,8.45284557416658,16.90569114833316,1.1233277062252864
16.5,7770,7438,8.25,8.50265645203415,17.0053129040683,1.1297523196228112
16.6,7370,7216,8.3,8.552467329901722,17.104934659803444,1.13617351758356
16.7,7209,6995,8.35,8.602278207769292,17.204556415538583,1.1425912806951397
16.8,7120,6796,8.4,8.652089085636861,17.304178171273723,1.149005589555542
16.9,6884,6620,8.45,8.701899963504431,17.403799927008862,1.1554164247732015
17.0,6801,6444,8.5,8.751710841372002,17.503421682744005,1.1618237669670537
17.1,6668,6268,8.55,8.801521719239574,17.603043438479148,1.168227596766594
17.2,6278,6095,8.6,8.851332597107143,17.702665194214287,1.1746278948119369
17.3,6180,5926,8.65,8.901143474974715,17.80228694994943,1.1810246417538743
17.4,6025,5757,8.7,8.950954352842285,17.90190870568457,1.187417818253932
17.5,5688,5588,8.75,9.000765230709856,18.001530461419712,1.1938074049844318
17.6,5658,5459,8.8,9.050576108577427,18.101152217154855,1.2001933826285471
17.7,5503,5372,8.85,9.100386986444997,18.200773972889994,1.206575731880363
17.8,5521,5285,8.9,9.150197864312569,18.300395728625137,1.2129544334449323
17.9,5626,5198,8.95,9.200008742180138,18.400017484360276,1.2193294680383362
18.0,5449,5160,9.0,9.24981962004771,18.49963924009542,1.2257008163877425
18.1,5155,5170,9.05,9.299630497915281,18.599260995830562,1.2320684592314621
18.2,5534,5180,9.1,9.349441375782849,18.698882751565698,1.2384323773190085
18.3,6416,5190,9.15,9.39925225365042,18.79850450730084,1.2447925514111569
18.4,5360,5124,9.2,9.44906313151799,18.89812626303598,1.2511489622799996
18.5,5195,4981,9.25,9.498874009385561,18.997748018771123,1.2575015907090066
18.6,4882,4837,9.3,9.548684887253133,19.097369774506266,1.2638504174930827
18.7,4623,4694,9.35,9.598495765120703,19.196991530241405,1.2701954234386263
18.8,5743,4551,9.4,9.648306642988274,19.296613285976548,1.2765365893635858
18.9,5442,4406,9.45,9.698117520855844,19.396235041711687,1.2828738960975195
19.0,4808,4260,9.5,9.747928398723415,19.49585679744683,1.2892073244816522
19.1,4230,4115,9.55,9.797739276590987,19.595478553181973,1.2955368553689346
19.2,4252,3970,9.6,9.847550154458556,19.695100308917112,1.301862469624098
19.3,4043,3825,9.65,9.897361032326128,19.794722064652255,1.308184148123717
19.4,3764,3680,9.7,9.947171910193697,19.894343820387395,1.3145018717562629
19.5,3726,3535,9.75,9.996982788061269,19.993965576122537,1.3208156214221647
19.6,3693,3438,9.8,10.04679366592884,20.09358733185768,1.327125378033863
19.7,3462,3389,9.85,10.096604543796408,20.193209087592816,1.3334311225158724
19.8,3513,3340,9.9,10.14641542166398,20.29283084332796,1.3397328358048366
19.9,3420,3291,9.95,10.19622629953155,20.3924525990631,1.346030498849585
20.0,3507,3215,10.0,10.24603717739912,20.49207435479824,1.3523240926111928
20.1,3267,3111,10.05,10.295848055266692,20.591696110533384,1.358613598063037
20.2,3266,3006,10.1,10.345658933134262,20.691317866268523,1.3648989961908533
20.3,3107,2902,10.15,10.395469811001833,20.790939622003666,1.3711802679927962
20.4,3043,2843,10.2,10.445280688869403,20.890561377738806,1.3774573944794937
20.5,2850,2828,10.25,10.495091566736974,20.99018313347395,1.3837303566741064
20.6,2957,2814,10.3,10.544902444604546,21.08980488920909,1.3899991356123838
20.7,2792,2799,10.35,10.594713322472115,21.18942664494423,1.396263712342722
20.8,2865,2753,10.4,10.644524200339687,21.289048400679373,1.4025240679262219
20.9,2827,2676,10.45,10.694335078207256,21.388670156414513,1.4087801834367448
21.0,2781,2599,10.5,10.744145956074828,21.488291912149656,1.4150320399609713
21.1,2566,2522,10.55,10.793956833942397,21.587913667884795,1.4212796185984564
21.2,2574,2455,10.6,10.843767711809967,21.687535423619934,1.4275229004616896
21.3,2483,2400,10.65,10.893578589677539,21.787157179355077,1.4337618666761487
21.4,2369,2344,10.7,10.943389467545108,21.886778935090216,1.4399964983803593
21.5,2310,2289,10.75,10.99320034541268,21.98640069082536,1.4462267767259513
21.6,2272,2242,10.8,11.043011223280251,22.086022446560502,1.4524526828777145
21.7,2261,2203,10.85,11.09282210114782,22.18564420229564,1.458674198013657
21.8,2223,2165,10.9,11.142632979015392,22.285265958030784,1.4648913033250623
21.9,2259,2126,10.95,11.192443856882962,22.384887713765924,1.471103980016545
22.0,2176,2088,11.0,11.242254734750533,22.484509469501067,1.4773122093061082
22.1,2107,2049,11.05,11.292065612618105,22.58413122523621,1.4835159724252003
22.2,1994,2011,11.1,11.341876490485674,22.68375298097135,1.4897152506187716
22.3,1964,1972,11.15,11.391687368353246,22.78337473670649,1.495910025145332
22.4,2006,1950,11.2,11.441498246220815,22.88299649244163,1.5021002772770056
22.5,1953,1943,11.25,11.491309124088387,22.982618248176774,1.5082859882995887
22.6,1925,1936,11.3,11.541120001955957,23.082240003911913,1.5144671395126066
22.7,2060,1929,11.35,11.590930879823526,23.181861759647052,1.5206437122293694
22.8,2725,2003,11.4,11.640741757691098,23.281483515382195,1.5268156877770291
22.9,2784,2158,11.45,11.690552635558667,23.381105271117335,1.5329830474966355
23.0,2707,2313,11.5,11.740363513426239,23.480727026852477,1.539145772743193
23.1,2745,2468,11.55,11.79017439129381,23.58034878258762,1.545303844885716
23.2,2546,2532,11.6,11.83998526916138,23.67997053832276,1.5514572453072868
23.3,2594,2503,11.65,11.889796147028951,23.779592294057903,1.5576059554051116
23.4,2492,2475,11.7,11.939607024896521,23.879214049793042,1.5637499565905757
23.5,2639,2446,11.75,11.989417902764092,23.978835805528185,1.5698892302892995
23.6,2443,2410,11.8,12.039228780631664,24.078457561263328,1.576023757941197
23.7,2432,2365,11.85,12.089039658499233,24.178079316998467,1.5821535210005284
23.8,2489,2320,11.9,12.138850536366805,24.27770107273361,1.5882785009359603
23.9,2437,2275,11.95,12.188661414234375,24.37732282846875,1.5943986792306177
24.0,2326,2216,12.0,12.238472292101946,24.476944584203892,1.600514037382143
24.1,2253,2143,12.05,12.288283169969516,24.57656633993903,1.6066245569027493
24.2,2152,2069,12.1,12.338094047837085,24.67618809567417,1.6127302193192798
24.3,2075,1996,12.15,12.387904925704657,24.775809851409313,1.6188310061732591
24.4,2061,1951,12.2,12.437715803572226,24.875431607144453,1.6249268990209533
24.5,1959,1935,12.25,12.487526681439798,24.975053362879596,1.631017879433424
24.6,2028,1920,12.3,12.53733755930737,25.07467511861474,1.6371039289965827
24.7,1896,1904,12.35,12.587148437174939,25.174296874349878,1.643185029311248
24.8,2009,1875,12.4,12.63695931504251,25.27391863008502,1.6492611619932018
24.9,1952,1834,12.45,12.68677019291008,25.37354038582016,1.6553323086732432
25.0,1846,1793,12.5,12.736581070777651,25.473162141555303,1.6613984509972457
25.1,1839,1752,12.55,12.786391948645223,25.572783897290446,1.6674595706262103
25.2,1917,1712,12.6,12.836202826512793,25.672405653025585,1.673515649236324
25.3,1731,1673,12.65,12.886013704380364,25.772027408760728,1.679566668519013
25.4,1781,1635,12.7,12.935824582247934,25.871649164495867,1.6856126101809987
25.5,1700,1596,12.75,12.985635460115503,25.971270920231007,1.6916534559443535
25.6,1658,1562,12.8,13.035446337983075,26.07089267596615,1.6976891875465552
25.7,1577,1533,12.85,13.085257215850644,26.17051443170129,1.7037197867405423
25.8,1596,1503,12.9,13.135068093718216,26.27013618743643,1.7097452352947697
25.9,1636,1474,12.95,13.184878971585785,26.36975794317157,1.715765514993264
26.0,1560,1447,13.0,13.234689849453357,26.469379698906714,1.721780607635678
26.1,1459,1424,13.05,13.284500727320928,26.569001454641857,1.7277904950373455
26.2,1459,1401,13.1,13.334311605188498,26.668623210376996,1.7337951590293361
26.3,1377,1378,13.15,13.38412248305607,26.76824496611214,1.7397945814585123
26.4,1403,1351,13.2,13.433933360923639,26.867866721847278,1.745788744187582
26.5,1366,1321,13.25,13.48374423879121,26.96748847758242,1.7517776290951528
26.6,1390,1290,13.3,13.533555116658782,27.067110233317564,1.75776121807579
26.7,1342,1260,13.35,13.583365994526352,27.166731989052703,1.7637394930400685
26.8,1245,1234,13.4,13.633176872393923,27.266353744787846,1.7697124359146286
26.9,1264,1212,13.45,13.682987750261493,27.365975500522985,1.77568002864223
27.0,1253,1189,13.5,13.732798628129062,27.465597256258125,1.7816422531818072
27.1,1247,1167,13.55,13.782609505996634,27.565219011993268,1.7875990915085238
27.2,1236,1146,13.6,13.832420383864203,27.664840767728407,1.7935505256138264
27.3,1156,1125,13.65,13.882231261731775,27.76446252346355,1.7994965375055008
27.4,1164,1104,13.7,13.932042139599345,27.86408427919869,1.8054371092077222
27.5,1130,1083,13.75,13.981853017466916,27.963706034933832,1.811372222761115
27.6,1102,1068,13.8,14.031663895334487,28.063327790668975,1.8173018602228048
27.7,1073,1058,13.85,14.081474773202057,28.162949546404114,1.8232260036664698
27.8,1077,1047,13.9,14.131285651069629,28.262571302139257,1.829144635182401
27.9,1174,1037,13.95,14.181096528937198,28.362193057874396,1.8350577368775491
28.0,1046,1022,14.0,14.23090740680477,28.46181481360954,1.8409652908755856
28.1,1032,1002,14.05,14.280718284672341,28.561436569344682,1.8468672793169523
28.2,1086,982,14.1,14.33052916253991,28.66105832507982,1.852763684358916
28.3,976,962,14.15,14.380340040407482,28.760680080814964,1.8586544881756248
28.4,1026,946,14.2,14.43015091827505,28.8603018365501,1.864539672958158
28.5,952,934,14.25,14.479961796142621,28.959923592285243,1.8704192209145853
28.6,905,923,14.3,14.529772674010193,29.059545348020386,1.8762931142700146
28.7,931,911,14.35,14.579583551877763,29.159167103755525,1.8821613352666497
28.8,943,901,14.4,14.629394429745334,29.258788859490668,1.8880238661638433
28.9,960,892,14.45,14.679205307612904,29.358410615225807,1.8938806892381495
29.0,942,884,14.5,14.729016185480475,29.45803237096095,1.8997317867833796
29.1,871,875,14.55,14.778827063348047,29.557654126696093,1.9055771411106524
29.2,972,861,14.6,14.828637941215616,29.657275882431232,1.91141673454845
29.3,898,842,14.65,14.878448819083188,29.756897638166375,1.9172505494426713
29.4,883,822,14.7,14.928259696950757,29.856519393901515,1.9230785681566835
29.5,827,803,14.75,14.978070574818329,29.956141149636657,1.9289007730713785
29.6,793,790,14.8,15.0278814526859,30.0557629053718,1.9347171465852226
29.7,840,783,14.85,15.07769233055347,30.15538466110694,1.9405276711143122
29.8,845,776,14.9,15.127503208421041,30.255006416842082,1.9463323290924266
29.9,828,769,14.95,15.17731408628861,30.35462817257722,1.9521311029710786
30.0,766,752,15.0,15.22712496415618,30.45424992831236,1.9579239752195727
30.1,780,724,15.05,15.276935842023752,30.553871684047504,1.963710928325054
30.2,653,695,15.1,15.326746719891322,30.653493439782643,1.9694919447925605
30.3,735,667,15.15,15.376557597758893,30.753115195517786,1.9752670071450793
30.4,716,652,15.2,15.426368475626463,30.852736951252925,1.9810360979235984
30.5,687,650,15.25,15.476179353494034,30.95235870698807,1.9867991996871566
30.6,657,649,15.3,15.525990231361606,31.05198046272321,1.9925562950129005
30.7,670,647,15.35,15.575801109229175,31.15160221845835,1.998307366496135
30.8,646,640,15.4,15.625611987096747,31.251223974193493,2.0040523967503745
30.9,660,629,15.45,15.675422864964316,31.350845729928633,2.009791368407401
31.0,642,618,15.5,15.725233742831888,31.450467485663776,2.015524264117307
31.1,601,607,15.55,15.77504462069946,31.55008924139892,2.0212510665485572
31.2,624,618,15.6,15.824855498567029,31.649710997134058,2.0269717583880382
31.3,766,653,15.65,15.874666376434599,31.749332752869197,2.032686322341108
31.4,766,688,15.7,15.924477254302168,31.848954508604336,2.03839474113165
31.5,794,723,15.75,15.97428813216974,31.94857626433948,2.0440969975021273
31.6,740,741,15.8,16.02409901003731,32.04819802007462,2.0497930742136314
31.7,821,743,15.85,16.073909887904883,32.147819775809765,2.0554829540459374
31.8,793,745,15.9,16.123720765772454,32.24744153154491,2.0611666197975533
31.9,832,747,15.95,16.173531643640022,32.347063287280044,2.066844054285773
32.0,754,735,16.0,16.223342521507593,32.44668504301519,2.0725152403467315
32.1,748,709,16.05,16.273153399375165,32.54630679875033,2.078180160835451
32.2,745,684,16.1,16.322964277242736,32.64592855448547,2.0838387986258957
32.3,696,658,16.15,16.372775155110304,32.74555031022061,2.089491136611025
32.4,682,647,16.2,16.422586032977875,32.84517206595575,2.0951371577028435
32.5,645,650,16.25,16.472396910845447,32.944793821690894,2.1007768448324513
32.6,669,653,16.3,16.52220778871302,33.04441557742604,2.1064101809500997
32.7,658,656,16.35,16.57201866658059,33.14403733316118,2.112037149025237
32.8,755,651,16.4,16.621829544448158,33.243659088896315,2.1176577320465646
32.9,751,637,16.45,16.67164042231573,33.34328084463146,2.1232719130220903
33.0,698,622,16.5,16.7214513001833,33.4429026003666,2.1288796749791703
33.1,714,608,16.55,16.771262178050872,33.542524356101744,2.134481000964571
33.2,653,599,16.6,16.821073055918443,33.64214611183689,2.1400758740445145
33.3,601,594,16.65,16.87088393378601,33.74176786757202,2.1456642773047316
33.4,625,590,16.7,16.920694811653583,33.841389623307165,2.1512461938505116
33.5,617,585,16.75,16.97050568952115,33.9410113790423,2.156821606806755
33.6,609,582,16.8,17.020316567388722,34.040633134777444,2.1623904993180227
33.7,583,580,16.85,17.070127445256293,34.14025489051259,2.1679528545485915
33.8,591,578,16.9,17.11993832312386,34.23987664624772,2.173508655682496
33.9,599,576,16.95,17.169749200991433,34.339498401982866,2.1790578859235885
34.0,575,568,17.0,17.219560078859004,34.43912015771801,2.184600528495587
34.1,674,554,17.05,17.269370956726576,34.53874191345315,2.1901365666421224
34.2,725,540,17.1,17.319181834594147,34.638363669188294,2.195665983626795
34.3,637,526,17.15,17.368992712461715,34.73798542492343,2.201188762733218
34.4,578,512,17.2,17.418803590329286,34.83760718065857,2.2067048872650754
34.5,519,498,17.25,17.468614468196858,34.937228936393716,2.2122143405461694
34.6,462,483,17.3,17.51842534606443,35.03685069212886,2.217717105920468
34.7,559,469,17.35,17.568236223932,35.136472447864,2.223213166752159
34.8,533,460,17.4,17.61804710179957,35.23609420359914,2.2287025064256993
34.9,512,455,17.45,17.66785797966714,35.33571595933428,2.234185108345866
35.0,493,451,17.5,17.71766885753471,35.43533771506942,2.2396609559378042
35.1,471,446,17.55,17.767479735402283,35.534959470804566,2.2451300326470793
35.2,444,440,17.6,17.817290613269854,35.63458122653971,2.2505923219397252
35.3,473,433,17.65,17.867101491137422,35.734202982274844,2.2560478073022963
35.4,441,426,17.7,17.916912369004994,35.83382473800999,2.261496472241917
35.5,427,419,17.75,17.966723246872565,35.93344649374513,2.2669383002863293
35.6,459,412,17.8,18.016534124740136,36.03306824948027,2.272373274983946
35.7,415,407,17.85,18.066345002607708,36.132690005215416,2.277801379903897
35.8,433,402,17.9,18.116155880475276,36.23231176095055,2.283222598636083
35.9,394,397,17.95,18.165966758342847,36.331933516685694,2.2886369147912204
36.0,425,390,18.0,18.21577763621042,36.43155527242084,2.294044312000895
36.1,411,383,18.05,18.26558851407799,36.53117702815598,2.2994447739176103
36.2,370,375,18.1,18.31539939194556,36.63079878389112,2.304838284214833
36.3,382,368,18.15,18.36521026981313,36.73042053962626,2.31022482658705
36.4,364,367,18.2,18.415021147680697,36.830042295361395,2.3156043847498107
36.5,374,374,18.25,18.46483202554827,36.92966405109654,2.32097694243978
36.6,414,381,18.3,18.51464290341584,37.02928580683168,2.3263424834147863
36.7,404,388,18.35,18.56445378128341,37.12890756256682,2.331700991453871
36.8,391,387,18.4,18.61426465915098,37.22852931830196,2.337052450357336
36.9,402,380,18.45,18.66407553701855,37.3281510740371,2.3423968439467955
37.0,387,373,18.5,18.713886414886122,37.427772829772245,2.3477341560652234
37.1,376,366,18.55,18.763697292753694,37.52739458550739,2.3530643705770005
37.2,362,357,18.6,18.813508170621265,37.62701634124253,2.358387471367966
37.3,362,347,18.65,18.863319048488833,37.726638096977666,2.363703442345465
37.4,355,336,18.7,18.913129926356405,37.82625985271281,2.3690122674383978
37.5,329,326,18.75,18.962940804223976,37.92588160844795,2.3743139305972676
37.6,331,322,18.8,19.012751682091547,38.025503364183095,2.3796084157942285
37.7,321,324,18.85,19.06256255995912,38.12512511991824,2.384895707023135
37.8,348,325,18.9,19.112373437826687,38.22474687565337,2.390175788299591
37.9,333,327,18.95,19.162184315694258,38.324368631388516,2.395448643660999
38.0,334,324,19.0,19.21199519356183,38.42399038712366,2.400714257166602
38.1,328,316,19.05,19.2618060714294,38.5236121428588,2.405972612897541
38.2,329,309,19.1,19.311616949296972,38.623233898593945,2.411223694956895
38.3,312,301,19.15,19.36142782716454,38.72285565432908,2.416467487469735
38.4,344,292,19.2,19.411238705032112,38.822477410064224,2.42170397458317
38.5,297,282,19.25,19.461049582899683,38.92209916579937,2.426933140466391
38.6,289,271,19.3,19.510860460767255,39.02172092153451,2.432154969310726
38.7,324,261,19.35,19.560671338634826,39.12134267726965,2.437369445329682
38.8,311,260,19.4,19.610482216502394,39.22096443300479,2.4425765527589958
38.9,256,269,19.45,19.660293094369965,39.32058618873993,2.4477762758566812
39.0,291,278,19.5,19.710103972237537,39.420207944475074,2.4529685989030745
39.1,313,287,19.55,19.75991485010511,39.51982970021022,2.458153506200885
39.2,299,291,19.6,19.80972572797268,39.61945145594536,2.4633309820752403
39.3,306,292,19.65,19.859536605840244,39.71907321168049,2.468501010873735
39.4,293,292,19.7,19.909347483707815,39.81869496741563,2.473663576966477
39.5,295,293,19.75,19.959158361575387,39.918316723150774,2.478818664746137
39.6,328,290,19.8,20.00896923944296,40.01793847888592,2.4839662586279907
39.7,310,285,19.85,20.05878011731053,40.11756023462106,2.489106343049972
39.8,284,280,19.9,20.108590995178098,40.217181990356195,2.4942389024727154
39.9,279,275,19.95,20.15840187304567,40.31680374609134,2.4993639213796066
40.0,272,272,20.0,20.20821275091324,40.41642550182648,2.5044813842768257
40.1,276,272,20.05,20.258023628780812,40.516047257561624,2.5095912756933973
40.2,321,271,20.1,20.307834506648383,40.61566901329677,2.5146935801812345
40.3,276,271,20.15,20.35764538451595,40.7152907690319,2.519788282315188
40.4,293,270,20.2,20.407456262383523,40.814912524767045,2.524875366693092
40.5,271,268,20.25,20.457267140251094,40.91453428050219,2.5299548179358102
40.6,286,265,20.3,20.507078018118666,41.01415603623733,2.5350266206872827
40.7,264,263,20.35,20.556888895986237,41.113777791972474,2.5400907596145705
40.8,262,264,20.4,20.606699773853805,41.21339954770761,2.5451472194079066
40.9,300,267,20.45,20.656510651721376,41.31302130344275,2.5501959847807383
41.0,275,270,20.5,20.706321529588948,41.412643059177896,2.5552370404697733
41.1,337,273,20.55,20.75613240745652,41.51226481491304,2.560270371235027
41.2,352,274,20.6,20.80594328532409,41.61188657064818,2.5652959618598716
41.3,321,273,20.65,20.85575416319166,41.71150832638332,2.570313797151075
41.4,270,272,20.7,20.90556504105923,41.81113008211846,2.5753238619388545
