omega[deg],I[au],I_B[au],theta[deg],theta_corr[deg],omega_corr[deg],lambda[ang]
42.0,35,36,21.0,21.204430308264655,42.40886061652931,2.605220223551378
42.1,39,38,21.05,21.254241186132226,42.50848237226445,2.61017547204027
42.2,58,39,21.1,21.304052063999794,42.60810412799959,2.6151228295169964
42.3,45,41,21.15,21.353862941867362,42.707725883734724,2.620062281024838
42.4,47,40,21.2,21.403673819734934,42.80734763946987,2.624993811630979
42.5,42,35,21.25,21.453484697602505,42.90696939520501,2.6299174064265487
42.6,41,30,21.3,21.503295575470077,43.00659115094015,2.634833050526667
42.7,34,25,21.35,21.553106453337648,43.106212906675296,2.639740729070492
42.8,23,24,21.4,21.602917331205216,43.20583466241043,2.6446404272212622
42.9,51,26,21.45,21.652728209072787,43.305456418145575,2.6495321301663424
43.0,33,29,21.5,21.70253908694036,43.40507817388072,2.6544158231172665
43.1,32,31,21.55,21.75234996480793,43.50469992961586,2.6592914913097876
43.2,49,32,21.6,21.8021608426755,43.604321685351,2.6641591200039154
43.3,46,33,21.65,21.85197172054307,43.70394344108614,2.6690186944839667
43.4,34,33,21.7,21.90178259841064,43.80356519682128,2.673870200058607
43.5,49,34,21.75,21.951593476278212,43.903186952556425,2.6787136220608945
43.6,42,34,21.8,22.001404354145784,44.00280870829157,2.6835489458483277
43.7,48,32,21.85,22.051215232013355,44.10243046402671,2.6883761568028843
43.8,50,31,21.9,22.101026109880923,44.202052219761846,2.6931952403310713
43.9,43,30,21.95,22.150836987748495,44.30167397549699,2.6980061818639647
44.0,30,31,22.0,22.200647865616066,44.40129573123213,2.702808966857256
44.1,40,32,22.05,22.250458743483637,44.500917486967275,2.7076035807912957
44.2,40,33,22.1,22.30026962135121,44.60053924270242,2.7123900091711346
44.3,42,34,22.15,22.350080499218777,44.70016099843755,2.717168237526572
44.4,55,35,22.2,22.399891377086348,44.799782754172696,2.7219382514121975
44.5,35,35,22.25,22.44970225495392,44.89940450990784,2.7267000364074323
44.6,36,36,22.3,22.49951313282149,44.99902626564298,2.7314535781165774
44.7,46,36,22.35,22.549324010689062,45.098648021378125,2.736198862168852
44.8,46,36,22.4,22.59913488855663,45.19826977711326,2.7409358742184433
44.9,48,36,22.45,22.6489457664242,45.2978915328484,2.745664599944542
45.0,35,35,22.5,22.698756644291773,45.397513288583546,2.750385025051395
45.1,50,35,22.55,22.74856752215934,45.49713504431868,2.755097135268336
45.2,40,35,22.6,22.798378400026913,45.596756800053825,2.759800916349844
45.3,59,36,22.65,22.84818927789448,45.69637855578896,2.764496354075572
45.4,58,38,22.7,22.898000155762052,45.796000311524104,2.769183434250402
45.5,49,39,22.75,22.947811033629623,45.89562206725925,2.773862142704477
45.6,42,38,22.8,22.997621911497195,45.99524382299439,2.778532465293253
45.7,39,37,22.85,23.047432789364766,46.09486557872953,2.7831943878975363
45.8,50,35,22.9,23.097243667232334,46.19448733446467,2.787847896423527
45.9,44,34,22.95,23.147054545099905,46.29410909019981,2.792492976802865
46.0,33,33,23.0,23.196865422967477,46.393730845934954,2.7971296149926683
46.1,42,34,23.05,23.24667630083505,46.4933526016701,2.801757796975578
46.2,36,35,23.1,23.29648717870262,46.59297435740524,2.8063775087597955
46.3,51,36,23.15,23.346298056570188,46.692596113140375,2.8109887363791364
46.4,37,35,23.2,23.39610893443776,46.79221786887552,2.8155914658930596
46.5,43,33,23.25,23.44591981230533,46.89183962461066,2.8201856833867187
46.6,41,32,23.3,23.495730690172902,46.991461380345804,2.824771374970997
46.7,42,30,23.35,23.545541568040473,47.09108313608095,2.8293485267825575
46.8,29,30,23.4,23.59535244590804,47.19070489181608,2.833917124983877
46.9,56,31,23.45,23.645163323775613,47.290326647551225,2.8384771557632917
47.0,35,33,23.5,23.694974201643184,47.38994840328637,2.843028605335041
47.1,48,34,23.55,23.744785079510756,47.48957015902151,2.847571459939305
47.2,51,35,23.6,23.794595957378327,47.589191914756654,2.8521057058422468
47.3,38,35,23.65,23.844406835245895,47.68881367049179,2.8566313293360572
47.4,34,34,23.7,23.894217713113466,47.78843542622693,2.8611483167389937
47.5,37,34,23.75,23.944028590981038,47.888057181962076,2.8656566543954205
47.6,34,35,23.8,23.99383946884861,47.98767893769722,2.870156328675853
47.7,35,36,23.85,24.04365034671618,48.08730069343236,2.874647325976998
47.8,45,38,23.9,24.09346122458375,48.1869224491675,2.8791296327217926
47.9,40,39,23.95,24.14327210245132,48.28654420490264,2.883603235359448
48.0,46,39,24.0,24.19308298031889,48.38616596063778,2.888068120365489
48.1,40,36,24.05,24.24289385818646,48.48578771637292,2.8925242742417963
48.2,36,33,24.1,24.29270473605403,48.58540947210806,2.8969716835166444
48.3,29,30,24.15,24.3425156139216,48.6850312278432,2.901410334744746
48.4,36,30,24.2,24.39232649178917,48.78465298357834,2.9058402145072906
48.5,43,32,24.25,24.44213736965674,48.88427473931348,2.910261309411985
48.6,42,35,24.3,24.491948247524313,48.983896495048626,2.9146736060930936
48.7,46,37,24.35,24.541759125391884,49.08351825078377,2.9190770912114807
48.8,40,36,24.4,24.591570003259452,49.183140006518904,2.923471751454648
48.9,38,33,24.45,24.641380881127024,49.28276176225405,2.927857573536778
49.0,32,29,24.5,24.691191758994595,49.38238351798919,2.9322345441987703
49.1,24,26,24.55,24.741002636862166,49.48200527372433,2.936602650208286
49.2,42,25,24.6,24.790813514729738,49.581627029459476,2.9409618783597846
49.3,31,28,24.65,24.840624392597306,49.68124878519461,2.9453122154745643
49.4,35,31,24.7,24.890435270464877,49.780870540929754,2.949653648400804
49.5,47,34,24.75,24.94024614833245,49.8804922966649,2.9539861640136
49.6,48,34,24.8,24.99005702620002,49.98011405240004,2.9583097492150077
49.7,35,33,24.85,25.03986790406759,50.07973580813518,2.962624390934083
49.8,39,32,24.9,25.08967878193516,50.17935756387032,2.966930076126913
49.9,32,31,24.95,25.13948965980273,50.27897931960546,2.9712267917766706
50.0,30,31,25.0,25.189300537670302,50.378601075340605,2.9755145248936388
50.1,35,32,25.05,25.239111415537874,50.47822283107575,2.9797932625152583
50.2,41,33,25.1,25.288922293405445,50.57784458681089,2.9840629917061645
50.3,35,34,25.15,25.338733171273013,50.677466342546026,2.988323699558228
50.4,40,33,25.2,25.388544049140584,50.77708809828117,2.992575373190591
50.5,45,30,25.25,25.438354927008156,50.87670985401631,2.9968179997497097
50.6,48,28,25.3,25.488165804875727,50.976331609751455,3.0010515664093877
50.7,36,24,25.35,25.5379766827433,51.0759533654866,3.005276060370821
50.8,42,23,25.4,25.587787560610867,51.17557512122173,3.0094914688626337
50.9,23,23,25.45,25.637598438478438,51.275196876956876,3.0136977791409167
51.0,21,23,25.5,25.687409316346006,51.37481863269201,3.0178949784892652
